key,text,location,screen,context,type,variables,notes
"public.agreement_text.aria_1","נוסח ההסכם","src/app/[slug]/AgreementText.tsx:14","עמוד ציבורי: נוסח ההסכם","תיאור נגישות לקורא מסך (aria) — לא נראה על המסך","aria","","glossary term — keep consistent: הסכמים; Tourism 2026 self-service campaign"
"public.agreement_text.public_page_1","לאחר החתימה הדיגיטלית ההסכם יישמר אוטומטית ועותק חתום יהיה זמין להורדה.","src/app/[slug]/AgreementText.tsx:76","עמוד ציבורי: נוסח ההסכם","טקסט בעמוד הציבורי","public_page","","glossary term — keep consistent: הסכמים; Tourism 2026 self-service campaign"
"public.frame.aria_1","לעמוד הקול הקורא","src/app/[slug]/CampaignFrame.tsx:11","עמוד ציבורי: מסגרת הקמפיין (כותרת ופוטר)","תיאור נגישות לקורא מסך (aria) — לא נראה על המסך","aria","","same text also at: src/app/[slug]/CampaignFrame.tsx:34; Tourism 2026 self-service campaign"
"public.frame.aria_2","משרד התיירות","src/app/[slug]/CampaignFrame.tsx:12","עמוד ציבורי: מסגרת הקמפיין (כותרת ופוטר)","טקסט חלופי לתמונה (alt)","aria","","same text also at: src/app/[slug]/page.tsx:80; Tourism 2026 self-service campaign"
"public.floating_cta.public_page_1","מכאן מצטרפים","src/app/[slug]/FloatingCta.tsx:32","עמוד ציבורי: כפתור הצטרפות צף","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.join_page.heading_1","הצטרפות וחתימה — חודש התיירות הישראלית 2026","src/app/[slug]/join/page.tsx:13","עמוד ציבורי: הצטרפות","כותרת החלון / הדפדפן (metadata)","heading","","Tourism 2026 self-service campaign"
"public.join_page.heading_2","הצטרפות וחתימה","src/app/[slug]/join/page.tsx:30","עמוד ציבורי: הצטרפות","כותרת","heading","","same text also at: src/app/[slug]/join/page.tsx:37, src/app/[slug]/sign/[token]/page.tsx:90; Tourism 2026 self-service campaign"
"public.join_page.public_page_1","תודה על ההתעניינות. הסכמים שכבר נוצרו ממשיכים להיות תקפים לפי הקישור שנשלח.","src/app/[slug]/join/page.tsx:31","עמוד ציבורי: הצטרפות","טקסט בעמוד הציבורי","public_page","","glossary term — keep consistent: הסכמים; Tourism 2026 self-service campaign"
"public.join_and_sign.error_1","יש לחתום בתיבת החתימה לפני השליחה.","src/app/[slug]/JoinAndSign.tsx:134","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","Tourism 2026 self-service campaign"
"public.join_and_sign.error_2","יש לאשר את הצהרת החתימה.","src/app/[slug]/JoinAndSign.tsx:139","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","Tourism 2026 self-service campaign"
"public.join_and_sign.error_3","לא הצלחנו לשלוח את הפרטים כרגע. אפשר לנסות שוב.","src/app/[slug]/JoinAndSign.tsx:189","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","Tourism 2026 self-service campaign"
"public.join_and_sign.error_4","לא הצלחנו לשלוח קוד אימות. אפשר לבקש קוד חדש.","src/app/[slug]/JoinAndSign.tsx:203","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה (ברירת מחדל כשאין ערך אחר)","error","","Tourism 2026 self-service campaign"
"public.join_and_sign.error_5","לא הצלחנו לשלוח את הפרטים כרגע. הפרטים שמילאת נשמרו במסך, אפשר לנסות שוב.","src/app/[slug]/JoinAndSign.tsx:207","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","Tourism 2026 self-service campaign"
"public.join_and_sign.error_6","שליחת הקוד נכשלה.","src/app/[slug]/JoinAndSign.tsx:221","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","same text also at: src/components/LoginForm.tsx:54, src/components/signer/OtpStep.tsx:41; Tourism 2026 self-service campaign"
"public.join_and_sign.error_7","שליחת הקוד נכשלה. בדקו את החיבור לאינטרנט.","src/app/[slug]/JoinAndSign.tsx:236","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","same text also at: src/components/LoginForm.tsx:63, src/components/signer/OtpStep.tsx:49; Tourism 2026 self-service campaign"
"public.join_and_sign.error_8","יש להזין את 6 הספרות שנשלחו אליך.","src/app/[slug]/JoinAndSign.tsx:246","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","Tourism 2026 self-service campaign"
"public.join_and_sign.error_9","קוד שגוי. נסו שנית.","src/app/[slug]/JoinAndSign.tsx:259","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","same text also at: src/server/signing/otp.ts:184; Tourism 2026 self-service campaign"
"public.join_and_sign.error_10","האימות נכשל. בדקו את החיבור לאינטרנט.","src/app/[slug]/JoinAndSign.tsx:264","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","same text also at: src/components/signer/OtpStep.tsx:73; Tourism 2026 self-service campaign"
"public.join_and_sign.error_11","החתימה נכשלה. נסו שוב.","src/app/[slug]/JoinAndSign.tsx:282","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","הודעת שגיאה שמוצגת אחרי פעולה שנכשלה","error","","same text also at: src/components/signer/SignerFlow.tsx:81; Tourism 2026 self-service campaign"
"public.join_and_sign.heading_1","ההרשמה שלכם כבר הושלמה וההסכם נחתם.","src/app/[slug]/JoinAndSign.tsx:297","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כותרת העמוד","heading","","glossary term — keep consistent: הרשמות, הסכמים; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_1","שלחנו קישור להורדת ההסכם החתום {maskedContact ? `אל ${maskedContact}` : 'לפרטי הקשר שנרשמו'}. לא נוצרה חתימה נוספת.","src/app/[slug]/JoinAndSign.tsx:299","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי","public_page","{maskedContact ? `אל ${maskedContact}` : 'לפרטי הקשר שנרשמו'}","glossary term — keep consistent: הסכמים; placeholders must stay exactly as written; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_2","אל ${maskedContact}","src/app/[slug]/JoinAndSign.tsx:299","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי (אחת מגרסאות טקסט מותנות)","public_page","${maskedContact}","placeholders must stay exactly as written; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_3","לפרטי הקשר שנרשמו","src/app/[slug]/JoinAndSign.tsx:299","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי (אחת מגרסאות טקסט מותנות)","public_page","","Tourism 2026 self-service campaign"
"public.join_and_sign.heading_2","הצטרפות ל{projectName}","src/app/[slug]/JoinAndSign.tsx:308","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כותרת העמוד","heading","{projectName}","placeholders must stay exactly as written; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_4","ממלאים את פרטי בית העסק, קוראים את ההסכם, חותמים באצבע ומאמתים בקוד שנשלח לנייד. זה הכול.","src/app/[slug]/JoinAndSign.tsx:310","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי","public_page","","glossary term — keep consistent: הסכמים; Tourism 2026 self-service campaign"
"public.join_and_sign.placeholder_1","לדוגמה 515123456","src/app/[slug]/JoinAndSign.tsx:327","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט placeholder בתוך שדה קלט ריק","placeholder","","Tourism 2026 self-service campaign"
"public.join_and_sign.help_1","אליו יישלח קוד האימות לחתימה.","src/app/[slug]/JoinAndSign.tsx:328","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט עזר / הסבר מתחת לשדה או לכותרת","help","","Tourism 2026 self-service campaign"
"public.join_and_sign.consent_text","אני מאשר/ת שקראתי את המסמך ושחתימתי ניתנת על ידי מרצוני.","src/app/[slug]/JoinAndSign.tsx:33","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","נוסח הסכמה / הצהרה משפטית","legal","","do not change meaning without approval; same text also at: src/components/signer/SignatureSheet.tsx:35; Tourism 2026 self-service campaign"
"public.join_and_sign.heading_3","מורשה החתימה","src/app/[slug]/JoinAndSign.tsx:334","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כותרת מקטע","heading","","Tourism 2026 self-service campaign"
"public.join_and_sign.placeholder_2","לדוגמה: בעלים, מנכ״ל","src/app/[slug]/JoinAndSign.tsx:337","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט placeholder בתוך שדה קלט ריק","placeholder","","Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_5","הפרטים נשמרו בהרשמה. לשינוי פרטים יש להירשם מחדש מעמוד הקול הקורא.","src/app/[slug]/JoinAndSign.tsx:339","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי","public_page","","glossary term — keep consistent: הרשמות; Tourism 2026 self-service campaign"
"public.join_and_sign.heading_4","ההסכם","src/app/[slug]/JoinAndSign.tsx:343","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כותרת מקטע","heading","","glossary term — keep consistent: הסכמים; same text also at: src/components/reports/RegistrationsTable.tsx:454; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_6","זה נוסח ההסכם שעליו אתם חותמים. פרטי העסק והחתימה ייכנסו לתוכו אוטומטית.","src/app/[slug]/JoinAndSign.tsx:344","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי","public_page","","glossary term — keep consistent: הסכמים; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_7","חתימת מורשה/ת החתימה. התאריך יתמלא אוטומטית ביום החתימה.","src/app/[slug]/JoinAndSign.tsx:351","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.join_and_sign.label_1","אתר","src/app/[slug]/JoinAndSign.tsx:362","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","תווית שדה / פריט","label","","same text also at: src/components/settings/BrandKitForm.tsx:79; Tourism 2026 self-service campaign"
"public.join_and_sign.button_1","שולח…","src/app/[slug]/JoinAndSign.tsx:376","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כיתוב כפתור בזמן פעולה (מצב טעינה) (אחת מגרסאות טקסט מותנות)","button","","same text also at: src/components/RemindButton.tsx:63, src/components/SendPanel.tsx:221, src/components/projects/DistributionWizard.tsx:396 (+6 more); Tourism 2026 self-service campaign"
"public.join_and_sign.button_2","חתום ושלח","src/app/[slug]/JoinAndSign.tsx:376","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כפתור / פעולה (אחת מגרסאות טקסט מותנות)","button","","Tourism 2026 self-service campaign"
"public.join_and_sign.heading_5","אימות בנייד","src/app/[slug]/JoinAndSign.tsx:384","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כותרת מקטע","heading","","Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_8","שלחנו קוד אימות ל-<span>{maskedPhone || 'הנייד שהוזן'}</span>","src/app/[slug]/JoinAndSign.tsx:386","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי","public_page","{maskedPhone || 'הנייד שהוזן'}","OTP flow — do not change meaning without approval; placeholders must stay exactly as written; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_9","הנייד שהוזן","src/app/[slug]/JoinAndSign.tsx:386","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי (ברירת מחדל כשאין ערך אחר)","public_page","","same text also at: src/components/LoginForm.tsx:189; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_10","סביבת בדיקה — לא נשלח SMS. הקוד: <strong>{devCode}</strong>","src/app/[slug]/JoinAndSign.tsx:390","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי","public_page","{devCode}","placeholders must stay exactly as written; Tourism 2026 self-service campaign"
"public.join_and_sign.public_page_11","קוד בן 6 ספרות","src/app/[slug]/JoinAndSign.tsx:393","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.join_and_sign.label_2","קוד אימות","src/app/[slug]/JoinAndSign.tsx:395","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","תווית שדה / פריט","label","","same text also at: src/components/ui/OtpInput.tsx:23; Tourism 2026 self-service campaign"
"public.join_and_sign.button_3","חותם…","src/app/[slug]/JoinAndSign.tsx:403","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כיתוב כפתור בזמן פעולה (מצב טעינה) (אחת מגרסאות טקסט מותנות)","button","","same text also at: src/components/signer/SignatureSheet.tsx:198; Tourism 2026 self-service campaign"
"public.join_and_sign.button_4","מאמת…","src/app/[slug]/JoinAndSign.tsx:403","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כיתוב כפתור בזמן פעולה (מצב טעינה) (אחת מגרסאות טקסט מותנות)","button","","Tourism 2026 self-service campaign"
"public.join_and_sign.button_5","אימות והשלמת החתימה","src/app/[slug]/JoinAndSign.tsx:403","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כפתור / פעולה (אחת מגרסאות טקסט מותנות)","button","","Tourism 2026 self-service campaign"
"public.join_and_sign.button_6","שליחת קוד חדש (${cooldown})","src/app/[slug]/JoinAndSign.tsx:406","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כפתור / פעולה (אחת מגרסאות טקסט מותנות)","button","${cooldown}","placeholders must stay exactly as written; Tourism 2026 self-service campaign"
"public.join_and_sign.button_7","לא קיבלתי קוד — שלחו שוב","src/app/[slug]/JoinAndSign.tsx:406","עמוד ציבורי: הצטרפות וחתימה (טופס, OTP, חתימה)","כפתור / פעולה (אחת מגרסאות טקסט מותנות)","button","","Tourism 2026 self-service campaign"
"public.layout.heading_1","קול קורא לעסקי תיירות — חודש התיירות הישראלית 2026","src/app/[slug]/layout.tsx:19","עמוד ציבורי: metadata","כותרת החלון / הדפדפן (metadata)","heading","","Tourism 2026 self-service campaign"
"public.layout.other_1","קול קורא לעסקי תיירות להצטרף לחודש התיירות הישראלית, נובמבר 2026. הצטרפות, קריאת הסכם ההשתתפות וחתימה דיגיטלית בכמה דקות.","src/app/[slug]/layout.tsx:21","עמוד ציבורי: metadata","תיאור העמוד לשיתוף ולמנועי חיפוש (metadata)","other","","glossary term — keep consistent: הסכמים; Tourism 2026 self-service campaign"
"public.landing.aria_3","מה העסק שלכם מרוויח?","src/app/[slug]/page.tsx:112","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט חלופי לתמונה (alt)","aria","","Tourism 2026 self-service campaign"
"public.landing.aria_4","ההרשמה בעיצומה והמקומות באתר המרכזי מוגבלים!","src/app/[slug]/page.tsx:128","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט חלופי לתמונה (alt)","aria","","glossary term — keep consistent: הרשמות; Tourism 2026 self-service campaign"
"public.landing.aria_5","אל תפספסו את ההזדמנות להיות חלק מהאירוע התיירותי של השנה.","src/app/[slug]/page.tsx:136","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט חלופי לתמונה (alt)","aria","","Tourism 2026 self-service campaign"
"public.landing.aria_6","מכאן מצטרפים — להצטרפות לחודש התיירות הישראלית","src/app/[slug]/page.tsx:145","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","תיאור נגישות לקורא מסך (aria) — לא נראה על המסך","aria","","Tourism 2026 self-service campaign"
"public.landing.body.0","הקול הקורא פתוח לכל עסק תומך תיירות בישראל, ובכלל זה: לינה, אטרקציות, פנאי","src/app/[slug]/page.tsx:27","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.body.1","וקולינריה. הפעילות תתנהל במתכונת שבועית נודדת לאורך כל רחבי הארץ.","src/app/[slug]/page.tsx:28","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.conditions.0.lines.0","הנחה קבועה ורציפה לכל אורך חודש נובמבר","src/app/[slug]/page.tsx:32","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.conditions.0.lines.1","עבור הגולשים שנרשמים דרך האתר הרשמי.","src/app/[slug]/page.tsx:32","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.conditions.1.lines.0","הנחה של מעל 25% ממחירון העסק הרגיל","src/app/[slug]/page.tsx:33","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
